hero,degree_centrality,betweenness_centrality,pagerank,num_connections
CRYSTAL [INHUMAN],0.11059190031152648,0.0048771040672068045,0.002476039523374157,710
PSYLOCKE/ELISABETH B,0.10996884735202493,0.0045762950512918685,0.0025961343318491002,706
NOVA/RICHARD RIDER,0.10856697819314642,0.006352381361594677,0.0022796601353432333,697
SILVER SURFER/NORRIN,0.10700934579439253,0.01837681162826512,0.0026299485908635664,687
CANNONBALL II/SAM GU,0.10560747663551402,0.008621555103336398,0.002913816616625897,678
"RICHARDS, FRANKLIN B",0.1043613707165109,0.004122103187382393,0.002152986303293493,670
"ROBERTSON, JOE",0.10404984423676013,0.008251408908088932,0.002927609117078064,668
DR. DOOM/VICTOR VON,0.10389408099688474,0.010880527927657131,0.002281126797246013,667
NAMORITA/NITA PRENTI,0.09750778816199378,0.005425937704503633,0.001875522858344683,626
FIRESTAR/ANGELICA JO,0.09719626168224299,0.00570655658975582,0.001943463336485789,624
GAMBIT/REMY LEBEAU,0.09610591900311527,0.008404927436261327,0.0023763775884617826,617
"CAGE, LUKE/CARL LUCA",0.09517133956386294,0.008676252660208258,0.001763785043083024,611
"SUMMERS, NATHAN CHRI",0.09454828660436138,0.009379208987212782,0.0023743431027115425,607
"JONES, RICHARD MILHO",0.09345794392523366,0.006834886093638813,0.002117484963256364,600
USAGENT/CAPTAIN JOHN,0.09267912772585671,0.005169166057516832,0.0018222722549322936,595
SERSI/SYLVIA,0.09158878504672897,0.0031147736330392503,0.0015714483319487767,588
MOONDRAGON/HEATHER D,0.08956386292834892,0.0039242078879209216,0.0017879517976420222,575
POLARIS/LORNA DANE,0.08878504672897197,0.0031057433775955254,0.001977635815713481,570
WOLFSBANE/RAHNE SINC,0.08862928348909657,0.0037478290711903473,0.002132331780166264,569
IRON FIST/DANIEL RAN,0.08629283489096573,0.00731785396514364,0.0016277740430580218,554
CAPTAIN MARVEL II/MO,0.08598130841121496,0.001944669649106601,0.0017790324954312633,552
"COOPER, DR. VALERIE",0.08566978193146418,0.0037776020777366692,0.0011526270678985213,550
SUNSPOT/ROBERTO DACO,0.08566978193146418,0.005680918395910827,0.0020370150458426713,550
MAGNETO/MAGNUS/ERIC,0.08566978193146418,0.0023624269618476895,0.001958776740282857,550
FALCON/SAM WILSON,0.08473520249221184,0.002651872117798297,0.0017047461495011615,544
BINARY/CAROL DANVERS,0.08411214953271029,0.003246335447024094,0.0015117218581728396,540
THUNDERSTRIKE/ERIC K,0.08333333333333334,0.0032981019628681063,0.0016081706884237515,535
UATU,0.08317757009345794,0.0032913490187628696,0.0011324372626241336,534
